PTS,Age,MP,FG,3P,3PA,eFG%,ORB,TOV,PF,TS%,weight
25.0,23.0,142.0,12.0,0.0,5.0,0.387,2.0,3.0,11.0,0.382,190.0
338.0,26.0,976.0,144.0,0.0,0.0,0.478,101.0,59.0,122.0,0.513,250.0
1046.0,27.0,2448.0,372.0,139.0,399.0,0.506,55.0,205.0,114.0,0.546,200.0
123.0,35.0,699.0,50.0,0.0,2.0,0.45899999999999996,68.0,50.0,107.0,0.498,255.0
457.0,32.0,1732.0,176.0,54.0,154.0,0.552,52.0,79.0,102.0,0.565,215.0
943.0,24.0,1956.0,299.0,167.0,446.0,0.506,65.0,128.0,189.0,0.5539999999999999,215.0
992.0,34.0,2703.0,377.0,120.0,313.0,0.509,49.0,159.0,146.0,0.5379999999999999,240.0
181.0,30.0,459.0,69.0,18.0,58.0,0.433,33.0,41.0,62.0,0.456,225.0
1878.0,27.0,2750.0,656.0,101.0,341.0,0.489,145.0,342.0,200.0,0.5539999999999999,200.0
108.0,30.0,281.0,43.0,10.0,34.0,0.45299999999999996,2.0,18.0,17.0,0.48,205.0
2.0,20.0,14.0,1.0,0.0,0.0,0.33299999999999996,0.0,1.0,1.0,0.258,250.0
1341.0,30.0,2174.0,519.0,24.0,68.0,0.534,18.0,170.0,92.0,0.588,185.0
643.0,23.0,1553.0,253.0,31.0,78.0,0.473,78.0,137.0,112.0,0.513,205.0
217.0,19.0,1001.0,81.0,43.0,147.0,0.385,11.0,28.0,73.0,0.39799999999999996,202.0
613.0,23.0,1391.0,232.0,32.0,125.0,0.406,43.0,174.0,103.0,0.444,190.0
22.0,23.0,91.0,10.0,0.0,3.0,0.35700000000000004,5.0,5.0,11.0,0.359,228.0
586.0,28.0,1615.0,218.0,96.0,268.0,0.474,20.0,45.0,82.0,0.498,200.0
760.0,28.0,2490.0,265.0,74.0,191.0,0.491,161.0,102.0,204.0,0.54,245.0
412.0,32.0,1583.0,176.0,0.0,4.0,0.595,123.0,69.0,197.0,0.624,255.0
312.0,24.0,1051.0,101.0,31.0,95.0,0.47200000000000003,51.0,39.0,89.0,0.541,210.0
514.0,29.0,1233.0,194.0,0.0,2.0,0.505,140.0,67.0,151.0,0.563,260.0
656.0,25.0,1840.0,282.0,0.0,0.0,0.601,230.0,58.0,202.0,0.594,240.0
539.0,24.0,1382.0,196.0,48.0,170.0,0.469,60.0,39.0,111.0,0.512,235.0
555.0,24.0,1533.0,225.0,55.0,151.0,0.516,117.0,65.0,159.0,0.5329999999999999,230.0
535.0,23.0,1444.0,207.0,16.0,44.0,0.523,44.0,67.0,105.0,0.564,193.0
593.0,19.0,1687.0,225.0,63.0,205.0,0.428,58.0,114.0,178.0,0.46,245.0
1040.0,34.0,2016.0,431.0,6.0,26.0,0.479,179.0,105.0,146.0,0.519,260.0
16.0,23.0,34.0,6.0,4.0,11.0,0.5710000000000001,2.0,1.0,3.0,0.5710000000000001,215.0
261.0,34.0,995.0,107.0,2.0,10.0,0.452,71.0,41.0,113.0,0.488,235.0
1409.0,34.0,2258.0,540.0,7.0,44.0,0.45899999999999996,82.0,203.0,116.0,0.517,220.0
1007.0,28.0,2820.0,380.0,0.0,2.0,0.475,282.0,194.0,245.0,0.531,230.0
834.0,28.0,1713.0,316.0,97.0,280.0,0.48100000000000004,34.0,145.0,131.0,0.51,185.0
506.0,27.0,1910.0,210.0,22.0,70.0,0.498,132.0,67.0,145.0,0.525,245.0
551.0,26.0,1119.0,187.0,72.0,196.0,0.503,8.0,74.0,55.0,0.555,175.0
353.0,23.0,758.0,132.0,4.0,28.0,0.435,21.0,79.0,64.0,0.496,190.0
1131.0,25.0,2808.0,401.0,100.0,258.0,0.551,134.0,259.0,240.0,0.5870000000000001,230.0
231.0,27.0,977.0,86.0,30.0,97.0,0.457,50.0,32.0,120.0,0.48100000000000004,228.0
1735.0,35.0,2628.0,633.0,131.0,329.0,0.5489999999999999,40.0,117.0,165.0,0.603,245.0
891.0,23.0,1855.0,361.0,79.0,200.0,0.485,48.0,96.0,145.0,0.51,180.0
104.0,21.0,434.0,36.0,0.0,0.0,0.486,51.0,32.0,57.0,0.507,245.0
461.0,22.0,1435.0,192.0,40.0,126.0,0.444,30.0,72.0,129.0,0.461,180.0
963.0,22.0,2096.0,373.0,0.0,1.0,0.5720000000000001,215.0,109.0,222.0,0.623,265.0
404.0,26.0,1253.0,140.0,74.0,171.0,0.5670000000000001,33.0,41.0,103.0,0.5920000000000001,220.0
725.0,27.0,1565.0,260.0,60.0,161.0,0.527,19.0,112.0,95.0,0.575,175.0
713.0,24.0,1264.0,235.0,56.0,173.0,0.45,10.0,117.0,75.0,0.523,215.0
622.0,28.0,1396.0,221.0,136.0,349.0,0.546,60.0,54.0,143.0,0.5589999999999999,242.0
764.0,24.0,1861.0,291.0,110.0,259.0,0.537,37.0,53.0,127.0,0.561,225.0
1309.0,24.0,2503.0,472.0,213.0,557.0,0.519,191.0,97.0,179.0,0.5479999999999999,240.0
18.0,27.0,61.0,8.0,0.0,0.0,0.444,4.0,5.0,2.0,0.455,270.0
159.0,25.0,329.0,54.0,26.0,58.0,0.593,21.0,19.0,28.0,0.621,210.0
491.0,31.0,1108.0,188.0,66.0,185.0,0.47100000000000003,21.0,82.0,132.0,0.494,161.0
337.0,24.0,1553.0,136.0,32.0,103.0,0.555,79.0,35.0,133.0,0.5660000000000001,210.0
384.0,38.0,1091.0,135.0,69.0,232.0,0.41700000000000004,27.0,43.0,102.0,0.445,220.0
1168.0,25.0,2757.0,414.0,106.0,293.0,0.49700000000000005,43.0,189.0,171.0,0.5489999999999999,175.0
83.0,19.0,259.0,30.0,5.0,13.0,0.428,28.0,11.0,20.0,0.475,240.0
671.0,34.0,1934.0,247.0,85.0,229.0,0.47600000000000003,34.0,116.0,100.0,0.512,240.0
1469.0,25.0,2356.0,574.0,10.0,25.0,0.506,126.0,152.0,196.0,0.551,251.0
346.0,22.0,1231.0,129.0,57.0,178.0,0.469,19.0,44.0,84.0,0.489,200.0
152.0,22.0,383.0,52.0,19.0,50.0,0.469,5.0,19.0,28.0,0.511,205.0
13.0,23.0,31.0,4.0,1.0,5.0,0.409,0.0,2.0,8.0,0.509,175.0
188.0,20.0,719.0,66.0,21.0,103.0,0.353,21.0,38.0,71.0,0.395,210.0
511.0,28.0,1729.0,196.0,81.0,225.0,0.529,36.0,56.0,146.0,0.541,225.0
367.0,29.0,896.0,153.0,9.0,37.0,0.40299999999999997,52.0,72.0,82.0,0.41700000000000004,225.0
32.0,20.0,90.0,14.0,0.0,0.0,0.483,10.0,5.0,14.0,0.409,240.0
660.0,29.0,1471.0,254.0,73.0,231.0,0.44299999999999995,16.0,125.0,129.0,0.47100000000000003,185.0
487.0,32.0,1280.0,167.0,52.0,158.0,0.516,18.0,66.0,124.0,0.5589999999999999,192.0
380.0,22.0,827.0,162.0,0.0,3.0,0.48200000000000004,116.0,47.0,83.0,0.49700000000000005,229.0
845.0,25.0,2045.0,331.0,112.0,313.0,0.507,73.0,73.0,188.0,0.52,235.0
417.0,27.0,1455.0,166.0,0.0,4.0,0.48,31.0,76.0,127.0,0.536,192.0
299.0,28.0,897.0,117.0,2.0,6.0,0.509,91.0,47.0,114.0,0.5539999999999999,275.0
689.0,30.0,2164.0,255.0,0.0,0.0,0.638,269.0,87.0,188.0,0.6709999999999999,240.0
541.0,27.0,1505.0,185.0,101.0,231.0,0.539,21.0,73.0,111.0,0.568,200.0
771.0,29.0,1750.0,281.0,82.0,243.0,0.49,21.0,83.0,108.0,0.5329999999999999,210.0
738.0,37.0,1587.0,251.0,89.0,258.0,0.502,28.0,154.0,138.0,0.544,205.0
425.0,32.0,1200.0,152.0,91.0,235.0,0.569,35.0,43.0,127.0,0.586,255.0
761.0,30.0,2334.0,290.0,82.0,217.0,0.518,29.0,72.0,134.0,0.551,200.0
1394.0,20.0,2358.0,522.0,2.0,9.0,0.52,207.0,109.0,200.0,0.5820000000000001,253.0
89.0,22.0,205.0,33.0,3.0,7.0,0.5660000000000001,12.0,8.0,9.0,0.603,232.0
461.0,28.0,1122.0,185.0,1.0,4.0,0.5670000000000001,109.0,65.0,162.0,0.618,260.0
338.0,26.0,832.0,143.0,18.0,60.0,0.414,15.0,78.0,50.0,0.431,175.0
724.0,24.0,2010.0,314.0,0.0,0.0,0.643,210.0,100.0,192.0,0.606,265.0
917.0,25.0,2116.0,374.0,77.0,205.0,0.525,135.0,97.0,194.0,0.5489999999999999,235.0
970.0,22.0,2201.0,390.0,0.0,1.0,0.522,199.0,129.0,236.0,0.556,265.0
641.0,24.0,1398.0,249.0,44.0,158.0,0.47,28.0,91.0,94.0,0.511,208.0
420.0,26.0,876.0,167.0,0.0,4.0,0.49,64.0,55.0,123.0,0.544,245.0
124.0,30.0,635.0,51.0,0.0,1.0,0.38299999999999995,87.0,52.0,77.0,0.406,230.0
791.0,26.0,2020.0,250.0,101.0,279.0,0.48200000000000004,56.0,157.0,218.0,0.5429999999999999,205.0
577.0,28.0,1800.0,249.0,10.0,43.0,0.596,178.0,94.0,214.0,0.602,240.0
2.0,24.0,43.0,1.0,0.0,1.0,0.14300000000000002,0.0,1.0,8.0,0.14300000000000002,235.0
763.0,24.0,1416.0,265.0,50.0,140.0,0.522,27.0,143.0,99.0,0.578,205.0
638.0,23.0,1774.0,231.0,1.0,10.0,0.53,138.0,68.0,204.0,0.5920000000000001,240.0
